classification
Fail
Acceptable
Fail
Fail
Fail
Excellent
Fail
Acceptable
Excellent
Acceptable
Acceptable
Fail
Excellent
Acceptable
Good
Adequate
Adequate
Adequate
Adequate
Adequate
Adequate
Outstanding
Acceptable
Outstanding
Acceptable
Acceptable
Excellent
Acceptable
Outstanding
Fail
Adequate
Limited
Adequate
Acceptable
Adequate
Adequate
Adequate
Excellent
Good
Good
Good
Good
Good
Good
Good
Adequate
Adequate
Acceptable
Fail
Good
Adequate
Adequate
Adequate
Adequate
Adequate
Acceptable
Acceptable
Adequate
Acceptable
Acceptable
Acceptable
Excellent
Fail
Fail
Adequate
Adequate
Acceptable
Acceptable
Acceptable
Acceptable
Good
Outstanding
Excellent
Acceptable
Acceptable
Limited
Limited
Acceptable
Fail
Acceptable
Limited
Acceptable
Outstanding
Acceptable
Acceptable
Fail
Acceptable
Fail
Acceptable
Acceptable
Fail
Acceptable
Outstanding
