classification,ct_min,ct_max,kw_min,kw_max,er_min,er_max,rf_min,rf_max,pr_min,pr_max
Outstanding,32,40,29,36,10,12,6,6,6,6
Excellent,28,31,25,28,8,9,5,5,5,5
Good,24,27,21,24,7,7,4,4,4,4
Acceptable,20,23,18,20,6,6,3,3,3,3
Adequate,16,19,14,17,5,5,2,2,2,2
Limited,14,15,12,13,4,4,1,1,1,1
Fail,0,13,0,11,0,3,0,0,0,0
